variable,importance
cate_3_name__饮品/甜点,0.210578000025
predict_3,0.183173572067
predict_2,0.166509571049
shop_level__0,0.0768386733396
location_id,0.0678264998895
comment_cnt,0.0471529046844
cate_3_name__西式快餐,0.0259965886442
city_name__广州,0.0255686618868
cate_2_name__休闲食品,0.0228756549086
cate_3_name__生鲜水果,0.0218765991289
cate_3_name__中式快餐,0.021858569835
score__3.0,0.0197156252817
city_name__杭州,0.0128657356088
city_name__深圳,0.00997149799148
per_pay__7,0.00968686658039
cate_2_name__快餐,0.00872722943788
city_name__其他城市,0.00781742422364
per_pay__5,0.00695685504789
cate_3_name__面包,0.00628846573984
shop_level__2,0.00571127643394
per_pay__11,0.00507591696017
score__2.0,0.00493791743923
per_pay__13,0.00484094194621
per_pay__2,0.00368782176764
cate_2_name__烘焙糕点,0.00346840176264
score__1.0,0.00282976636655
cate_3_name__其他,0.00235988262807
per_pay__1,0.00205270031836
per_pay__12,0.00202236826771
city_name__上海,0.0019069443115
shop_level__1,0.00185462883516
city_name__武汉,0.00147193035328
score__4.0,0.00123589321166
per_pay__14,0.00115864834525
city_name__北京,0.000721447936846
per_pay__15,0.000531288652004
cate_2_name__小吃,0.000296994292332
per_pay__10,0.000278998215767
cate_3_name__其它小吃,0.000270059431358
cate_3_name__奶茶,0.000220397243216
city_name__南京,0.000215574628569
per_pay__16,0.00015709820141
per_pay__20,0.000139776453722
cate_2_name__休闲茶饮,0.000107044486189
cate_3_name__蛋糕,8.4182351763e-05
per_pay__9,7.71037896373e-05
cate_2_name__火锅,0.0
cate_3_name__面点,0.0
cate_2_name__超市,0.0
per_pay__6,0.0
cate_1_name__超市便利店,0.0
cate_2_name__其他美食,0.0
cate_2_name__其他,0.0
cate_2_name__便利店,0.0
per_pay__3,0.0
cate_2_name__中餐,0.0
per_pay__8,0.0
cate_1_name__美食,0.0
cate_1_name__其他,0.0
per_pay__4,0.0
score__-1.0,0.0
per_pay__19,0.0
per_pay__18,0.0
per_pay__17,0.0
score__0.0,0.0
