,wave_model2_1,wave_model2_2,wave_model2_3,wave_model2_4,wave_model2_5,wave_model2_6,wave_model2_7,ids_stable_period_1,ids_stable_period_2,ids_stable_period_3,ids_no_stable_period
1,242.166666667,233.5,245.916666667,257.75,250.833333333,234.416666667,233.833333333,1,0,0,0
2,88.75,96.25,83.375,90.125,117.5,123.0,91.75,1,0,0,0
3,68.1428571429,71.1428571429,66.2857142857,73.4285714286,81.1428571429,84.5714285714,69.0,0,1,0,0
4,94.0,115.428571429,102.857142857,114.857142857,201.714285714,220.142857143,110.142857143,0,1,0,0
5,294.428571429,269.0,260.285714286,217.142857143,215.428571429,197.142857143,309.0,0,0,1,0
6,51.6,46.6,49.0,62.4,57.8,58.6,59.0,0,1,0,0
7,161.2,152.2,170.2,184.8,166.0,212.0,162.0,1,0,0,0
8,87.25,106.5,88.0,95.25,92.75,86.0,75.25,0,1,0,0
9,197.36,205.52,197.32,203.76,230.08,238.04,200.16,1,0,0,0
10,53.0,66.0,50.6,52.6,57.4,72.4,61.4,0,0,1,0
11,59.1818181818,64.0,58.0909090909,67.3636363636,44.0,40.5454545455,57.9090909091,0,1,0,0
12,59.875,74.75,98.375,75.75,96.0,99.5,72.5,0,1,0,0
13,181.727272727,188.272727273,190.454545455,192.454545455,156.181818182,143.0,193.454545455,1,0,0,0
14,62.75,58.5,64.75,57.25,58.75,48.5,59.25,1,0,0,0
15,96.4,84.4,85.8,85.2,100.2,111.6,95.4,0,1,0,0
16,43.0,38.4,45.4,53.4,42.4,39.0,38.2,0,1,0,0
17,84.2777777778,82.7222222222,84.5,96.0,100.611111111,97.2777777778,79.3888888889,0,1,0,0
18,50.5714285714,52.1428571429,54.5714285714,63.8571428571,62.5714285714,60.4285714286,56.4285714286,0,1,0,0
19,134.272727273,136.0,149.363636364,137.0,184.090909091,195.454545455,138.181818182,1,0,0,0
20,121.166666667,116.166666667,125.083333333,122.916666667,89.1666666667,84.6666666667,124.166666667,0,1,0,0
21,100.25,92.75,120.25,124.5,180.25,187.0,111.0,0,1,0,0
22,158.5,148.25,129.75,151.25,143.25,143.75,133.0,1,0,0,0
23,153.866666667,170.866666667,163.933333333,178.866666667,75.4666666667,62.6,165.733333333,1,0,0,0
24,77.0,75.5,87.6666666667,95.1666666667,104.5,106.833333333,72.0,0,1,0,0
25,99.8648648649,97.2432432432,96.3783783784,109.837837838,111.621621622,104.27027027,92.7837837838,0,1,0,0
26,92.25,74.0,83.25,62.75,141.75,141.25,69.75,0,1,0,0
27,94.4,92.6,83.6,83.0,81.6,77.4,93.6,1,0,0,0
28,55.3333333333,57.6666666667,63.0,68.0,81.0,81.6666666667,57.0,0,1,0,0
29,71.2,82.4,84.0,89.8,132.6,119.2,77.4,0,1,0,0
30,27.5,26.8333333333,29.8333333333,79.3333333333,92.5,47.1666666667,32.8333333333,0,0,1,0
31,342.25,361.0,355.5,384.375,565.5,628.25,335.25,1,0,0,0
32,368.615384615,393.076923077,404.076923077,408.384615385,179.769230769,94.0769230769,400.538461538,1,0,0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
34,311.933333333,306.8,299.266666667,357.2,395.6,354.066666667,293.8,1,0,0,0
35,157.9,157.7,155.0,168.7,222.4,248.0,165.6,1,0,0,0
36,63.8888888889,58.4444444444,58.5555555556,62.0,64.3333333333,77.4444444444,59.6666666667,0,1,0,0
37,161.133333333,164.866666667,169.8,183.333333333,181.933333333,156.0,155.6,0,1,0,0
38,83.8,69.0,71.9333333333,81.3333333333,37.7333333333,34.6,69.6,0,1,0,0
39,134.583333333,149.083333333,149.833333333,163.5,206.416666667,176.666666667,147.833333333,0,1,0,0
40,105.428571429,95.7142857143,98.2857142857,99.5714285714,113.428571429,112.714285714,94.7142857143,1,0,0,0
41,107.714285714,126.5,124.0,184.071428571,285.357142857,225.214285714,107.5,0,1,0,0
42,73.6666666667,73.0833333333,77.9166666667,74.9166666667,89.0,86.4166666667,85.5833333333,0,0,1,0
43,72.5,85.0,82.0,107.0,81.0,99.0,85.25,1,0,0,0
44,60.0,67.8,74.6,70.0,68.8,75.2,63.8,1,0,0,0
45,57.0,44.6,42.4,59.2,91.6,84.4,40.0,0,0,1,0
46,195.0,204.0,214.75,207.75,186.75,187.5,211.625,1,0,0,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
48,433.5,427.833333333,435.0,463.166666667,506.0,503.0,422.0,1,0,0,0
49,326.357142857,318.571428571,319.642857143,340.642857143,453.571428571,491.142857143,314.142857143,1,0,0,0
50,61.125,52.375,53.0,55.375,61.875,68.625,57.25,0,1,0,0
51,155.166666667,171.333333333,176.833333333,171.5,80.5,78.1666666667,173.0,1,0,0,0
52,54.5789473684,49.5263157895,55.3157894737,70.5263157895,100.105263158,112.421052632,54.7894736842,0,0,1,0
53,162.25,178.125,177.5,195.75,167.375,159.25,170.875,1,0,0,0
54,275.888888889,270.555555556,284.777777778,272.888888889,258.944444444,285.055555556,286.166666667,1,0,0,0
55,302.764705882,306.529411765,296.470588235,343.941176471,288.294117647,274.176470588,300.529411765,1,0,0,0
56,55.8888888889,56.2222222222,54.5555555556,54.6666666667,78.2222222222,58.3333333333,44.8888888889,0,1,0,0
57,135.75,137.0,177.75,161.0,156.5,161.0,163.25,1,0,0,0
58,1202.71428571,1189.78571429,1189.69047619,1267.38095238,1391.0952381,1353.80952381,1268.33333333,1,0,0,0
59,113.0,117.5,142.5,172.5,116.5,132.25,126.0,1,0,0,0
