variable,importance
shop_level__0,0.212109262481
predict_3,0.19948643686
predict_2,0.166316228638
shop_level__2,0.1215183127
location_id,0.075362348992
cate_3_name__饮品/甜点,0.049770007013
cate_2_name__快餐,0.0444336116679
comment_cnt,0.0252608492117
score__3.0,0.0161625817989
city_name__其他城市,0.0144180528488
per_pay__13,0.00901722197336
cate_3_name__生鲜水果,0.00874227488393
score__2.0,0.00753653968639
cate_3_name__西式快餐,0.0068654821758
per_pay__2,0.0057566529686
cate_2_name__休闲茶饮,0.00568696210303
city_name__上海,0.00547766094125
city_name__杭州,0.00502587117367
cate_2_name__休闲食品,0.00424871220506
per_pay__1,0.00322785407382
per_pay__15,0.00271001053654
shop_level__1,0.00205610531517
cate_2_name__烘焙糕点,0.00162683302922
cate_3_name__其他,0.00116213225968
score__4.0,0.00099735625546
per_pay__14,0.000924211361777
per_pay__12,0.000839678151841
cate_3_name__面包,0.000630180637834
city_name__南京,0.000560172310967
cate_2_name__小吃,0.000437061567434
score__1.0,0.000341660026458
cate_3_name__中式快餐,0.000293171539713
city_name__武汉,0.000238744113773
cate_3_name__其它小吃,0.000165400188234
per_pay__9,0.000161051169932
per_pay__11,0.000146279422004
city_name__深圳,0.00010485685047
city_name__广州,0.000102503661131
per_pay__20,3.17176202555e-05
city_name__北京,2.5591056093e-05
cate_3_name__奶茶,2.23585298213e-05
cate_2_name__超市,0.0
cate_3_name__蛋糕,0.0
cate_3_name__面点,0.0
score__-1.0,0.0
cate_2_name__火锅,0.0
score__0.0,0.0
per_pay__3,0.0
cate_2_name__其他美食,0.0
per_pay__17,0.0
per_pay__5,0.0
per_pay__6,0.0
per_pay__7,0.0
per_pay__8,0.0
per_pay__10,0.0
per_pay__16,0.0
per_pay__18,0.0
cate_2_name__其他,0.0
per_pay__19,0.0
per_pay__4,0.0
cate_1_name__美食,0.0
cate_1_name__超市便利店,0.0
cate_2_name__中餐,0.0
cate_2_name__便利店,0.0
cate_1_name__其他,0.0
